email,full_name,how_was_your_last_month_in_your_assignment,How_Was_Your_Last_Month_Within_Your_Department,How_Was_Your_Last_Month_With_Us,What_Felt_Best_During_This_Last_Month,What_Should_We_Do_To_Make_You_Feel_Better_And_Increase_Your_Overall_Satisfaction,Any_Additional_Suggestion_To_Improve,any_additional_comments,I_Would_Like_To_Get_Called_By,I_Would_Like_To_Provide_A_Copy_Of_My_Answers_To,id,improve_sentiment,feeling_sentiment,satisfaction_sentiment
Lorem.ipsum@congueelit.ca,Harrison,4,4,4,"collaborating closely with Damien,  closing the deal with ucb","keep the good vibes, the trust and open communication , we rock !",more sync between the different departments,,,,0,neutral,neutral,positive
elit.elit.fermentum@Crasinterdum.ca,Clinton,4,4,4,being promoted,maintain the good collaboration,keep up the good energy,,,,1,positive,neutral,positive
semper@mi.com,Scott,3,3,2,team building we had last month,"more consideration for the employes, making them partners in management decision",Don’t be friends during work hours.,,,,2,negative,neutral,neutral
tellus.non@velsapien.co.uk,Russell,1,1,1,not much for me,I don't feel that my skills and capacities are taking into accounts ,If a few managers took a chill pill.,,,,3,neutral,negative,negative
vitae@nisinibhlacinia.ca,Kane,4,4,3,getting to work with you guys is a real pleasure,less micro management,I would like to talk to the managers just to see where I am in the company. And let me dye my hair green.,,,,4,positive,positive,neutral
nisi@libero.com,Kasper,4,4,4,we have great team work ,more flexibility ,Everything is all good in the hood.,,,,5,positive,positive,neutral
dictum.eu@elit.net,Chase,2,2,2,well ...,valuate all staff the same way,Fire half the staff and replace them with trained monkeys.,,,,6,neutral,positive,neutral
dolor@Mauris.org,Jason,4,4,4,great workplace,just keep up the good work,No Improvement,,,,7,neutral,positive,positive
Nam.consequat@Fuscedolor.org,Branden,1,1,1,not much ,I don't like that my opinions are not taken into account,"We used to be a family, now no one trusts anyone anymore. My team members steal jobs and one impersonated me on the phone",,,,8,negative,negative,negative
rutrum.magna@lorem.org,Ralph,4,4,4,being rewarded after closing the ucb deal,more transparency about the financial situation of the company,I would like that my assignements will be aligned with my carreer goals,,,,9,positive,positive,neutral
id@Donecvitaeerat.co.uk,Vance,3,3,2,working with great colleagues,"more flexibility arround working hours , holidays etc",No Improvement,,,,10,neutral,positive,neutral
et.malesuada.fames@gravidamolestiearcu.com,Palmer,4,4,3,being part of this great advanture is thrilling,making the employees in the heart of management decisions,No Improvement,,,,11,neutral,positive,neutral
Mauris.vestibulum@Craseget.org,Chaim,4,4,3,the team building was nice,more openness and transparency,No Improvement,,,,12,neutral,positive,positive
Nullam@molestie.net,Anthony,4,4,3,get together with the colleagues,"more team buildings, less micromanagement",embrace agility,,,,13,neutral,neutral,neutral
et@quis.ca,Byron,2,2,2,my scrum master certification,more training,No Improvement,,,,14,neutral,positive,neutral
ultricies.sem.magna@urna.net,Igor,1,1,1,nothing really,being heard and valued,No Improvement,,,,15,neutral,negative,positive
lacinia.at@mi.co.uk,Emmanuel,4,4,4,the enthusiasm in the work place,offer more opportunities for continuous learning,No Improvement,,,,16,neutral,positive,neutral
mi.pede.nonummy@vulputaterisus.edu,Oleg,4,4,4,deciding finally that we are going to be a green company,put more energy in  our CSR work ,we should joing the BACA,,,,17,neutral,neutral,positive
enim@tristiquenequevenenatis.edu,Arsenio,2,2,2,having the opportunnity to onboard Cedric,less work load,No Improvement,,,,18,neutral,neutral,neutral
lobortis.nisi.nibh@Loremipsumdolor.net,Cedric,3,3,4,joining you guys,so far I've been pleased pleased for the help I revceived from my colleagues during my onboarding,I need some time to come with useful suggestions,,,,19,positive,neutral,negative
pharetra@tellus.co.uk,Roth,4,4,4,"staffing for buisiness team, we needed that",we should work more on perfection our synergy,No Improvement,,,,20,neutral,neutral,positive
adipiscing.elit.Curabitur@erat.net,Hamish,1,1,2,the team building was a good idea,more team buildings and activities between colleagues,"I asked for a one to one with my manager , I'm still waiting for that to happend , it would be nice to take employees demands more seriously",,,,21,positive,positive,neutral
tortor@Intincidunt.net,Reuben,4,4,1,working with my clients is always a pleasure,"I asked for help because the work load becomes heavy on me, I did not receive any answer until now wich is disappointing",No Improvement,,,,22,neutral,positive,negative
a@vitaealiquameros.ca,Dominic,4,4,3,proud of the feedback of my clients,we should put more energy in collecting feedback from our clients,No Improvement,,,,23,neutral,positive,positive
eget.volutpat@ridiculusmus.edu,Jonah,3,3,4,the day to day work is nice as usual,focus on the well being of the employees,No Improvement,,,,24,neutral,positive,positive
ipsum@dapibusrutrum.net,Samuel,4,4,2,it's always nice to see my colleagues,"my current mission is not aligned with my skills and carreer goals , would be nice to take that into account for the nex assignement",No Improvement,,,,25,neutral,positive,positive
cursus.Nunc@blanditenim.net,Quamar,4,4,4,I loved working inside the com team,so far I'm satisfied,No Improvement,,,,26,neutral,positive,negative
urna.Nullam@Inat.org,Tanek,1,1,1,for me I was more frustrated than anything else this month,"I would love to feel more implicated in the decisions that impact my day to day work , wich is not the case currently",implement a more particpative work policy,,,,27,neutral,negative,positive
convallis@vulputateeu.org,Chase,2,2,4,the great team and workplace we have,help me progress and grow my experties,No Improvement,,,,28,neutral,positive,positive
pharetra.sed@commodoipsumSuspendisse.edu,David,4,4,2,its nice be working with you guys,"I was not satisfied with result we got from X, we should do something about it",No Improvement,,,,29,neutral,positive,negative
Quisque.varius@maurisblandit.edu,Rafael,4,4,3,being able to help out my team mates,ensure we hire qualified people,No Improvement,,,,30,neutral,positive,neutral
sed.libero@litoratorquentper.net,Alec,4,4,3,the good collaboration within my team,the hiring process should be reviewed,No Improvement,,,,31,neutral,positive,neutral
Integer.tincidunt@estcongue.edu,Buckminster,3,3,3,I enjoyed my  day to day work ,I would love to have more responsibilities,be more responsive to employees demands,,,,32,neutral,positive,positive
molestie.orci@mattis.co.uk,Tate,4,4,2,the good collaboration is nice as usual,"the work load becomes very important , I need more staff in my team",No Improvement,,,,33,neutral,positive,neutral
at.auctor@duisemperet.org,Rafael,1,1,1,I can't recall,give us the opportunity to have a real impact,No Improvement,,,,34,neutral,neutral,neutral
ac.mattis.velit@lectussitamet.com,Victor,4,4,4,"I felt empowerd , that was great",keep this going,No Improvement,,,,35,neutral,positive,neutral
eu@mus.net,Omar,2,2,4,"the scrum certification , it a big achievement for me","with my new certification I would like to join the dev team as scrum master , my current position is no longuer relevant",No Improvement,,,,36,neutral,positive,positive
nisi.Aenean@luctusutpellentesque.com,Ethan,4,4,2,No Feeling,No Satisfaction,No Improvement,,,,37,neutral,neutral,neutral
consectetuer.euismod@pedeCras.com,Kermit,1,1,4,No Feeling,No Satisfaction,No Improvement,,,,38,neutral,neutral,neutral
nec@luctusCurabituregestas.net,Odysseus,4,4,4,No Feeling,No Satisfaction,No Improvement,,,,39,neutral,neutral,neutral
imperdiet@Duiscursus.edu,Ryder,3,3,2,No Feeling,No Satisfaction,No Improvement,,,,40,neutral,neutral,neutral
